,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zabol,AF,2022-06-18 05:20:37,32.25,67.25,80.53,16,0,15.55
1,Punta Arenas,CL,2022-06-18 05:16:28,-53.15,-70.9167,30.31,80,75,6.91
2,Zaysan,KZ,2022-06-18 05:20:38,47.4667,84.8667,77.18,28,2,9.44
3,Yellowknife,CA,2022-06-18 05:20:38,62.456,-114.3525,54.12,66,20,3.44
4,Albany,US,2022-06-18 05:20:38,42.6001,-73.9662,67.23,62,39,13.4
5,Nome,US,2022-06-18 05:19:55,64.5011,-165.4064,57.16,67,100,8.05
6,Sakakah,SA,2022-06-18 05:20:39,29.9697,40.2064,94.57,13,0,12.75
7,Iracoubo,GF,2022-06-18 05:20:39,5.4802,-53.2011,75.92,87,87,5.21
8,Mataura,NZ,2022-06-18 05:20:39,-46.1927,168.8643,45.48,94,100,2.71
9,Carnarvon,AU,2022-06-18 05:20:40,-24.8667,113.6333,71.42,62,98,12.86
10,Chuy,UY,2022-06-18 05:20:40,-33.6971,-53.4616,47.3,58,40,11.99
11,Castro,BR,2022-06-18 05:20:41,-24.7911,-50.0119,56.08,96,100,8.01
12,Nanortalik,GL,2022-06-18 05:20:41,60.1432,-45.2371,43.47,89,100,17.18
13,Arraial Do Cabo,BR,2022-06-18 05:20:41,-22.9661,-42.0278,68.36,78,1,12.77
14,Port Alfred,ZA,2022-06-18 05:20:41,-33.5906,26.891,61.9,35,65,9.13
15,Clyde River,CA,2022-06-18 05:20:42,70.4692,-68.5914,34.03,80,0,23.02
16,Hobart,AU,2022-06-18 05:18:29,-42.8794,147.3294,55.26,85,20,5.75
17,Kapaa,US,2022-06-18 05:20:42,22.0752,-159.319,76.98,81,20,11.5
18,New Norfolk,AU,2022-06-18 05:20:42,-42.7826,147.0587,54.91,87,79,1.05
19,Cheremshan,RU,2022-06-18 05:20:43,54.6667,51.5,65.07,73,41,6.87
20,Sorland,NO,2022-06-18 05:20:43,67.667,12.6934,51.66,90,100,10.09
21,Hambantota,LK,2022-06-18 05:20:43,6.1241,81.1185,79.27,80,100,13.89
22,Nuuk,GL,2022-06-18 05:20:44,64.1835,-51.7216,41.61,100,75,35.68
